"Community Food Bank of Dayton","EFAP","11/15/2000","BMAC","Cereal Special K:5:75,Saltines:1:15,Paper Products-t.p.:1:35,Pasta:2:42,Salvage Grain:4:160,Salvage Fruit & Veg:6:240,Salvage Protein:6:240,Salvage Misc.:8:320,Cereal Looney Tunes:2:42,Cheese Nips:6:24,AFF Asp.:6:165,Snack Sticks:10:30,Formula Enfamil:10:10,AFF lg. Corn:2:25.5,Juice; Citrus Punch:5:75","0","1498.5",,,,,"235252624"
"Community Food Bank of Dayton","EFAP FB","11/15/2000","BMAC","Pork & Beans:4:112","0.29","112",,,,,"195153032"
"Campfire","Other","11/16/2000","Customer","1:3:123,Cheese Nips:3:18,Juice; Citrus Punch:2:30,Combo Crackers:1:24","0.15","195",,,,,"270007314"
"Garfield Co. Food Bank","EFAP FB","01/26/2000","BMAC","Rice #50:2:100","0.21","100",,,,,"764577506"
"Garfield Co. Food Bank","EFAP FB","12/03/2000","BMAC","Beans #50:2:100","0.26","100",,,,,"12865621"
"Garfield Co. Food Bank","EFAP FB","12/03/2000","BMAC","Oatmeal #50:2:100","0.27","100",,,,,"770595612"
"Garfield Co. Food Bank","EFAP","12/03/2000","BMAC","Paper Products-t.p.:1:35,Misc.:2:20","0","55",,,,,"814381231"
"Garfield Co. Food Bank","TEFAP","12/06/2000","BMAC","PASTA:2:42,APP.SAUCE:1:27,APRICOTS:1:27,PEARS:1:27,GROUND SAUSAGE:1:36,CHILI:1:28,ALMONDS:2:54,DRIED CRANBERRY:2:64,101:3:57","0","362",,,,,"760119348"
"7","TEFAP","11/17/2000","Customer","STEW:1:27,PASTA:2:42,TOM.SAUCE:2:54,CORN:2:54,CHILI:1:27,CRAN/APPLE JUICE:2:88,FROZ. CHICKEN:2:104","0","396",,,,,"357453078"
"7","Other","11/17/2000","Customer","Dairy:2:80,AFF Asp.:2:54","0","134",,,,,"506907376"
"BMAC Gleaners","Other","11/17/2000","Customer","Frozen Vegetables:75:1500","0","1500",,,,,"462177674"
"Salvation Army","EFAP","11/22/2000","BMAC","Cereal Special K:2:30,F.D. Chili/Beans:2:120,F.D. Fruit.:2:120,Frozen Meat:4:80,Pasta:2:42,F.D. Soup:1:60,AFF Asp.:8:224,Mac & Cheese:2:46,F.D. Mix Vegs:1:60,Cereal Honey Crunch:2:48","0","830",,,,,"790166275"
"Pantry Shelf","EFAP","11/22/2000","BMAC","Cereal Special K:2:30,F.D. Chili/Beans:2:120,F.D. Dry Goods:2:80,F.D. Fruit.:2:120,Frozen Meat:4:80,Paper Products-t.p.:1:35,F.D. Tomato Prod:1:60,AFF Asp.:5:140,Mac & Cheese:2:84,Cereal Honey Crunch:2:48,Pork & Beans:2:120","0","917",,,,,"564298382"
"St. Vincent of Walla Walla","EFAP","11/22/2000","BMAC","4:1:60,Cereal Special K:2:30,F.D. Chili/Beans:2:120,F.D. Dry Goods:2:80,F.D. Fruit.:1:60,Pasta:2:42,F.D. Prepared:1:60,F.D. Soup:1:60,F.D. Tomato Prod:2:120,Mac & Cheese:2:84,AFF lg. Corn:4:112,Cereal Honey Crunch:2:48","0","876",,,,,"450993116"
"Helpline","EFAP FB","11/22/2000","BMAC","Rice #50:1:50","0.21","50",,,,,"562070464"
"Salvation Army","EFAP FB","11/22/2000","BMAC","Rice #50:1:50","0.21","50",,,,,"457373002"
"Salvation Army","EFAP FB","11/22/2000","BMAC","Beans #50:1:50","0.26","50",,,,,"600653647"
"Pantry Shelf","EFAP FB","11/22/2000","BMAC","Rice #50:1:50","0.21","50",,,,,"631149258"
"Pantry Shelf","EFAP FB","11/22/2000","BMAC","Beans #50:1:50","0.26","50",,,,,"353785384"
"Salvation Army","EFAP","11/21/2000","Customer","Dairy:3:120,Fresh Fruit:2:60,Frozen Meat:3:60","0","240",,,,,"875479171"
"Christian Aid","Other","11/21/2000","Customer","Dairy:4:160","0","160",,,,,"316039737"
"Christian Aid","Other","11/21/2000","Customer","Misc.:5:180","0","180",,,,,"953761201"
"Agape House","Other","11/27/2000","Customer","Dairy:8:320,Fresh Fruit:6:240,Paper Products-t.p.:12:420,Misc.:10:1200","0","2180",,,,,"820686827"
"Helpline","TEFAP","11/28/2000","BMAC","APP.SAUCE:2:60,PEARS:2:60,CORN:2:55.5,GROUND SAUSAGE:2:72,ALMONDS:4:216,CRAN. SAUCE:4:108,DRIED CRANBERRY:3:96,CRAN/APPLE JUICE:4:176","0","843.5",,,,,"242150564"
"Pantry Shelf","TEFAP","11/28/2000","BMAC","APP.SAUCE:6:180,PEARS:6:180,CORN:6:166.5,GROUND SAUSAGE:4:144,ALMONDS:12:324,CRAN. SAUCE:12:324,DRIED CRANBERRY:18:576,CRAN/APPLE JUICE:12:528","0","2422.5",,,,,"748692364"
"St. Vincent of Walla Walla","TEFAP","11/28/2000","BMAC","APP.SAUCE:6:180,PEARS:6:180,CORN:6:166.5,GROUND SAUSAGE:4:144,ALMONDS:11:297,CRAN. SAUCE:12:324,DRIED CRANBERRY:16:512,CRAN/APPLE JUICE:12:528","0","2331.5",,,,,"17010164"
"Salvation Army","TEFAP","11/28/2000","BMAC","APP.SAUCE:6:180,PEARS:6:180,CORN:6:16605,GROUND SAUSAGE:4:144,CRAN. SAUCE:12:324,101:16:304,CRAN/APPLE JUICE:12:528","0","18265",,,,,"838973751"
"Salvation Army","EFAP","11/27/2000","BMAC","Fresh Vegetables:6:280","0.15","280",,,,,"143838299"
"St. Vincent of Walla Walla","EFAP","11/27/2000","BMAC","Fresh Vegetables:6:280","0.15","280",,,,,"202270271"
"Juvenile Center","EFAP","11/21/2000","BMAC","1:3:123,4:1:60,F.D. Chili/Beans:2:120,F.D. Dry Goods:6:240,F.D. Fish Prod.:1:60,Fresh Vegetables:6:280,F.D. Fruit.:2:120,F.D. Glass:1:60,Saltines:2:30,Paper Products-t.p.:1:35,Pasta:4:84,F.D. Prepared:2:120,F.D. Tomato Prod:1:60,Graham Crackers:4:52,Mac & Cheese:2:84,Snack Sticks:10:30,Cereal Honey Crunch:4:96","0","1654",,,,,"579836488"
"Pantry Shelf","EFAP","11/27/2000","BMAC","Saltines:2:30,AFF Asp.:8:96,Cereal Honey Crunch:3:72","0","198",,,,,"292371657"
"7","TEFAP","11/28/2000","Customer","STEW:2:86,TOM.SAUCE:2:54,PORK:1:52,CHILI:2:56","0","248",,,,,"722348849"
"Burbank Grange #630","TEFAP","01/26/2000","Customer","PASTA:8:104,APP.SAUCE:2:60,TUNA:2:45.6,PEARS:2:60,CORN:2:55.5,CHILI:4:112,CRAN. SAUCE:4:108,CRAN/APPLE JUICE:4:176,CAN CHICKEN:2:104","0","825.1",,,,,"734629308"
"Asotin Co. Food Bank","TEFAP","12/05/2000","BMAC","STEW:10:180,APRICOTS:6:162,SALMON:6:162,TUNA:8:182.4,PEANUT BUTTER:10:155,CRAN. SAUCE:12:324,101:3:57","0","1222.4",,,,,"506100022"
"24","TEFAP","12/05/2000","BMAC","STEW:10:180,APP.SAUCE:6:162,APRICOTS:6:162,SALMON:6:162,CORN:6:166.5,CRAN. SAUCE:12:324","0","1156.5",,,,,"326612217"
"Asotin Co. Food Bank","EFAP","12/05/2000","BMAC","1:4:164,Pasta:6:126,Salvage Grain:6:240,Salvage Fruit & Veg:6:240,Salvage Protein:2:80,Salvage Misc.:6:240,Cereal Looney Tunes:6:126,Cheese Nips:6:36,AFF Asp.:6:165,AFF lg. Corn:4:84","0","1501",,,,,"114761050"
"24","EFAP","12/05/2000","BMAC","1:4:164,Pasta:6:126,Salvage Grain:6:240,Salvage Fruit & Veg:6:240,Salvage Protein:3:120,Salvage Misc.:6:240,Cereal Looney Tunes:6:126,Cheese Nips:6:36,AFF Asp.:6:165,AFF lg. Corn:4:84","0","1541",,,,,"593968626"
"Asotin Co. Food Bank","EFAP FB","12/05/2000","BMAC","Oatmeal #50:2:100","0.27","100",,,,,"625560013"
"Christian Aid","Other","12/05/2000","Customer","Dairy:3:120","0","120",,,,,"345894216"
"Asotin Co. Food Bank","Other","12/05/2000","Customer","Dairy:2:80","0","80",,,,,"852791069"
"Pantry Shelf","EFAP","12/05/2000","BMAC","Dairy:3:120,Salvage Fruit & Veg:2:80","0","200",,,,,"226272731"
"St. Vincent of Walla Walla","EFAP","12/05/2000","Customer","Dairy:3:120,Frozen Vegetables:2:28","0","148",,,,,"572990476"
"Salvation Army","EFAP","12/05/2000","Customer","Dairy:3:120,Fresh Fruit:2:60","0","180",,,,,"186134219"
"Pantry Shelf","EFAP","12/08/2000","Customer","Dairy:2:80,Cheese Nips:2:12,Misc.:2:20","0","112",,,,,"211699696"
"Pantry Shelf","EFAP FB","12/08/2000","Customer","Rice #50:1:50","0.21","50",,,,,"500095854"
"Pantry Shelf","EFAP FB","12/08/2000","Customer","Beans #50:1:50","0.26","50",,,,,"865380210"
"Pantry Shelf","EFAP","12/13/2000","BMAC","AFF Asp.:4:112,Misc.:4:27","0","139",,,,,"826613520"
"St. Vincent of Walla Walla","EFAP","12/13/2000","BMAC","1:3:123,4:1:60,F.D. Chili/Beans:2:120,F.D. Dry Goods:6:240,F.D. Fruit.:2:120,F.D. Glass:1:60,Saltines:2:30,Paper Products-t.p.:1:35,Pasta:4:84,F.D. Prepared:2:120,F.D. Tomato Prod:1:60,AFF Asp.:8:80,Graham Crackers:4:52,Tuna.:2:54,Mac & Cheese:2:84,Snack Sticks:10:30,Formula Enfamil:2:84,Cereal Honey Crunch:4:96,Misc.:4:27","0","1559",,,,,"536927003"
"Community Food Bank of Dayton","EFAP","12/18/2000","BMAC","Cereal Special K:2:30,Paper Products-t.p.:1:35,Pasta:6:126,Salvage Grain:4:160,Salvage Misc.:6:240,AFF Asp.:2:56,Graham Crackers:2:26,Cereal Honey Crunch:2:28,Combo Crackers:1:24","0","725",,,,,"204794481"
"Community Food Bank of Dayton","TEFAP","12/18/2000","BMAC","INSTANT MILK:16:448,APP.SAUCE:4:120,PORK:4:208,RICE (dup):4:196,PEANUT BUTTER:8:124,APPLE JUICE:8:352,STRAWBERRIES/6:8:224","0","1672",,,,,"413191428"
"Garfield Co. Food Bank","EFAP","12/18/2000","BMAC","Cereal Special K:2:30,Paper Products-t.p.:1:35,Pasta:2:42,Salvage Misc.:2:80,Cheese Nips:2:12,Stroganoff:3:27,Cereal Honey Crunch:2:48,Misc.:1:18","0","292",,,,,"451573729"
"Garfield Co. Food Bank","TEFAP","12/18/2000","BMAC","INSTANT MILK:6:228,APP.SAUCE:3:90,PORK:3:156,RICE (dup):3:147,PEANUT BUTTER:3:46.5,APPLE JUICE:3:132,STRAWBERRIES/6:3:84","0","883.5",,,,,"18294388"
"Agape House","Other","12/19/2000","Customer","Paper Products-t.p.:10:350,Cereal Looney Tunes:15:315","0","665",,,,,"736750784"
"Pantry Shelf","EFAP FB","12/19/2000","Customer","Beans #50:1:50","0.26","50",,,,,"628870789"
